adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/x1Ex090BNIXcmaBYB2US0j3hBUF.jpg,"[28, 53, 18]",1057001,ko,The Childe,"Desperate to secure funds for his mother's surgery, an amateur boxer searches for the wealthy father he's never met. Traveling from the Philippines to Korea, he is relentlessly pursued and forced to confront a shocking truth.",693.894,/ydC8ubFXQfkPJDhkduMhbE9mTz7.jpg,2023-06-21,The Childe,False,7.052,77
False,/8kgfR6KwCwc6WA2AY1wqBXkYpEy.jpg,"[27, 9648]",964592,ko,잠,"A young couple's life is turned upside down when the husband sleepwalks and turns into someone else after dark. His wife, overwhelmed by the fear that he will harm their newborn baby, can no longer sleep.",47.926,/b4d90lpmSTLoCP9tkBU7QAQOhh0.jpg,2023-09-06,Sleep,False,6.6,66
False,/ji6mDx6xUAEsl65AZRrW6pWKxs4.jpg,"[35, 10749]",473924,ko,동창회의 목적: 더 비기닝,"Are we dating? Even if I slept with her?  Is it alright for friends to sleep with each other?  Pretending not to know, pretending to know all the flirting going around.  The flirting goes on any time and at any place!  Today with this one, tomorrow with that one and who knows who the day after...",45.077,/sqJD8nD2zjRaENBsdcqwpJiSGXj.jpg,2017-02-02,Reunion Goals: The Beginning,False,8.5,6
False,/vblTCXOWUQGSc837vgbhDRi4HSc.jpg,"[28, 80, 35, 53]",955555,ko,범죄도시 3,"Detective Ma Seok-do changes his affiliation from the Geumcheon Police Station to the Metropolitan Investigation Team, in order to eradicate Japanese gangsters who enter Korea to commit heinous crimes.",42.588,/lW6IHrtaATxDKYVYoQGU5sh0OVm.jpg,2023-05-31,The Roundup: No Way Out,False,7.0,199
False,/rENYZSx6HFME7YLbbY0qGYayL7F.jpg,"[9648, 18, 53]",491584,ko,버닝,An aspiring writer goes to the airport to pick up a high school friend returning from a trip to Africa but is disheartened to see her with another man.,31.006,/kXiF80o74fE9gf3Utf9moAI7ar0.jpg,2018-05-17,Burning,False,7.4,1507
False,/5l2kTFOC9QicBxOVpocy5pSu4i8.jpg,"[28, 18, 36]",437068,ko,택시운전사,"May, 1980. Man-seob is a taxi driver in Seoul who lives from hand to mouth, raising his young daughter alone. One day, he hears that there is a foreigner who will pay big money for a drive down to Gwangju city. Not knowing that he’s a German journalist with a hidden agenda, Man-seob takes the job.",28.183,/iXVaWbxmyPk4KZGZk5GGDGFieMX.jpg,2017-08-02,A Taxi Driver,False,8.1,918
False,/5hQSm7FEGWnd0JnwjpMYyuP4p3m.jpg,[10749],702454,ko,스와핑 : 친구의 아내2,"A man's business fails and he's chased by loan sharks. He moves in with his best friend. His best friend's wife can't conceive, so the man sleeps with his wife to help her conceive.",32.15,/8NGBIQbpQaSzc2OWIN1BdOMAv7M.jpg,2018-07-19,Swapping: My Friend's Wife 2,False,0.0,0
False,/mLnbZF4B2ZUYkrbGZL5RGkfe0n4.jpg,[53],740441,ko,스마트폰을 떨어뜨렸을 뿐인데,A woman's life is turned upside-down when a dangerous man gets a hold of her lost cell phone and uses it to track her every move.,28.409,/s9DOGlKfXWlnxAdOJHQzP3aRqt0.jpg,2023-02-17,Unlocked,False,7.355,280
False,/1YwobLXEIaHd82AXlCNUqh1SETt.jpg,"[10749, 18, 14]",499028,ko,지금 만나러 갑니다,"Along with his young son, Ji-ho, Woo-jin misses his wife Soo-a, who died after promising to return a year later with the rainy season. Miraculously, they reunite with Soo-a when the rainy season comes around, but she has no memory of her husband and son whom she dearly loved.",18.118,/mvstNgM68EyCRWwpArakLhWvvtk.jpg,2018-03-14,Be with You,False,8.3,190
False,/f67vlmQx6yjYoqj4Qsi1estJJWN.jpg,[18],547404,ko,벌새,"14-year-old Eun-hee moves through life like a hummingbird searching for a taste of sweetness wherever she may find it. Ignored by her parents and abused by her brother, she finds her escape by roaming the neighborhood with her best friend, going on adventures, and exploring young love.",14.941,/ugWlKFgLnv8W6MmRmk0jnaJUSra.jpg,2019-08-28,House of Hummingbird,False,7.683,94
