adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/lLh39Th5plbrQgbQ4zyIULsd0Pp.jpg,"[878, 28, 12]",823464,en,Godzilla x Kong: The New Empire,"고질라 X 콩, 이번에는 한 팀이다! ‘고질라’ VS ‘콩’, 두 타이탄의 전설적인 대결 이후 할로우 어스에 남은 ‘콩’은 드디어 애타게 찾던 동족을 발견하지만 그 뒤에 도사리고 있는 예상치 못한 위협에 맞닥뜨린다. 한편, 깊은 동면에 빠진 ‘고질라’는 알 수 없는 신호로 인해 깨어나고 푸른 눈의 폭군 ‘스카 킹’의 지배 아래 위기에 처한 할로우 어스를 마주하게 된다. 할로우 어스는 물론, 지구상에도 출몰해 전세계를 초토화시키는 타이탄들의 도발 속에서 ‘고질라’와 ‘콩’은 사상 처음으로 한 팀을 이뤄 반격에 나서기로 하는데…",3384.641,/4z1VMmlxHrziG45901esjB4dpIa.jpg,2024-03-27,고질라 X 콩: 뉴 엠파이어,False,6.945,1354
False,/tRS6jvPM9qPrrnx2KRp3ew96Yot.jpg,"[80, 9648, 53]",414906,en,The Batman,"지난 2년 간 고담시의 어둠 속에서 범법자들을 응징하며 배트맨으로 살아온 브루스 웨인. 알프레드와 제임스 고든 경위의 도움 아래 그는 도시의 부패한 공직자들과 고위 관료들 사이에서 복수의 화신으로 활약한다. 고담의 시장 선거를 앞두고 고담의 엘리트 집단을 목표로 잔악한 연쇄살인을 저지르는 수수께끼 킬러 리들러가 나타나자, 최고의 탐정 브루스 웨인이 수사에 나서고 남겨진 단서를 풀어가며 캣우먼, 펭귄, 카마인 팔코네, 리들러를 차례대로 만난다. 사이코 범인의 미스터리를 수사하면서 그 모든 증거가 자신을 향한 의도적인 메시지였음을 깨닫고,  리들러에게 농락 당한 배트맨은 광기에 사로잡힌다. 범인의 무자비한 계획을 막고 오랫동안 고담시를 썩게 만든 권력 부패의 고리를 끊어야 하지만, 부모님의 죽음에 얽힌 진실이 밝혀지자 복수와 정의 사이에서 갈등하는데...",516.851,/jicHGaOX5pHs7RKjfexMxvLkwjf.jpg,2022-03-01,더 배트맨,False,7.679,9562
False,/ctMserH8g2SeOAnCw5gFjdQF8mo.jpg,"[35, 12]",346698,en,Barbie,"원하는 무엇이든 될 수 있는 바비랜드에서 살아가던 바비가 현실 세계와 이어진 포털의 균열을 발견하게 되고, 이를 해결하기 위해 켄과 예기치 못한 여정을 떠나면서 펼쳐지는 이야기",472.981,/h3mUJ9WEJ8PzA450ad4hrjsaiqG.jpg,2023-07-19,바비,False,7.066,8232
False,/cjRUhKyt2Jo3V1KNzc5tpPNfccG.jpg,"[878, 28, 12]",320288,en,Dark Phoenix,"어린 시절 비극적 교통사고로 능력을 알게 된 진 그레이는 자비에 영재학교에서 새로운 가족을 맞이하게 된다. 엄청난 잠재능력을 지닌 그녀는 엑스맨으로 성장해 우주에서 구조 임무를 수행하던 중 목숨을 잃을 뻔한 사고를 겪고, 폭주하는 힘과 억눌려왔던 어둠에 눈을 뜨게 된 그녀는 엑스맨의 가장 강력하고 파괴적인 적, 다크 피닉스로 변하게 된다. 프로페서 X는 물론 매그니토까지 능가하는 두려운 존재가 된 그녀 앞에 힘을 이용하려는 미스터리한 외계 존재가 나타나 그녀를 뒤흔들고, 엑스맨은 사랑하는 친구이자 가장 강력한 적이 된 다크 피닉스와 맞서야 하는데...",439.383,/rNRfYkuRvM0z1RWHPbc2I8HCdvd.jpg,2019-06-05,엑스맨: 다크 피닉스,False,5.98,6248
False,/oCKZAdUROqdlTcUOstqJ1gM8JQt.jpg,"[18, 35]",615777,en,Babylon,"황홀하면서도 위태로운 고대 도시 바빌론에 비유되는 할리우드에서 전성기를 누리고 있는 당대 최고의 스타 잭 콘래드.  누구나 잭과 같은 성공을 꿈꾸지만 아무나 이룰 수 없던 그 때, 화려한 데뷔를 위해 당차게 야망을 좇는 넬리 라로이와 열정적인 청년 매니 토레스가 영화 같은 삶을 꿈꾸며 할리우드에 입성한다. 하지만 할리우드에서는 기존 영화 산업의 틀을 깬 새로운 변화가 시작되고 그 격변의 한가운데에서 잭과 넬리, 그리고 매니는 살아남아 각자의 꿈을 이루기 위해 고군분투하는데...",378.196,/6JQtIajMe70HWtBf7uZ1ZyWiW1F.jpg,2022-12-22,바빌론,False,7.412,2786
False,/goCvLSUFz0p7k8R10Hv4CVh3EQv.jpg,"[28, 80]",339403,en,Baby Driver,"베이비(앤설 엘고트)는 탈출 전문 드라이버다. 은행 강도 등 범죄의 설계자인 박사(케빈 스페이스)에게 약점이 잡혀 일을 하고 있지만 손을 씻고 새로운 생활을 꿈꾼다. 어린 시절 교통사고를 당해 청력에 이상이 생긴 베이비는 이어폰을 끼고 음악을 들으며 안정을 유지한다. 어느 날 자주 가는 식당에서 종업원인 데보라(릴리 제임스)를 만나 마음을 나누는 베이비. 하지만 마지막인 줄 알았던 범죄는 그의 발목을 놓아주지 않고 배츠(제이미 폭스), 버디(존 햄), 달링(에이사 곤살레스)과 함께 최후의 한탕을 준비한다.",331.535,/fUfZ2zECULlN0pGPgXkez5rF7Hj.jpg,2017-06-28,베이비 드라이버,False,7.45,15200
False,/pcWxKfFNCznTKYy0E8M9nG1cwL4.jpg,"[18, 35]",391713,en,Lady Bird,스스로에게 레이디 버드라는 이름을 지어준 크리스틴은 엄마가 자신을 레이디 버드로 부르지 않는 것이 불만이다. 게다가 뉴욕 소재의 대학에 진학하고 싶다고 하자 시립대에나 진학하라는 말에 발끈한다. 말로는 엄마를 설득할 수 없을 것 같자 레이디 버드는 달리는 차 안에서 망설임 없이 뛰어내린다. 새크라멘토의 가톨릭 고등학교 졸업반인 레이디 버드는 어떻게든 고리타분한 새크라멘토를 벗어나고 싶어 한다. 우정도 사랑도 엄마와의 관계도 뜻대로 되지 않는 지금 여기에서의 시간에서 벗어나기 위해서라도 레이디 버드에게 뉴욕행은 간절하다.,318.101,/mnBtnrUqchSibHCvCAOUcdcuEDA.jpg,2017-09-01,레이디 버드,False,7.3,8184
False,/hZnnUq0mrUQ3e54SJVca4mf2oAQ.jpg,"[27, 28]",36647,en,Blade,"출산을 바로 앞둔 산모가 응급실에 실려온다. 이미 위독한 상황에 있는 산모에게서 뱃속의 아이라도 살리기 위해 응급수술이 시작된다. 그러나 누구도 산모가 뱀파이어에게 물렸다는 사실을 모른다.  산모의 몸 속에 스며든 뱀파이어의 피는 아기의 혈관 속으로 스며들어 아이의 운명을 바꾼다. 반은 인간, 반은 뱀파이어로 태어난 블레이드(웨슬리 스나입스)는 자신의 어머니를 죽게 한 뱀파이어에 대해 복수를 다짐한다.  한편 뱀파이어들은 인간세계에 은밀히 섞여서 살고 있다. 지역지구장을 맡고 있는 뱀파이어 프로스트(스티븐 도프)는 자신의 세력 확장을 위해 무자비한 방식으로 인간을 공격한다. 그런데 프로스트가 가장 무서워하는 존재는 인간과 뱀파이어의 우성 유전자만을 이어받은 블레이드인데...",310.316,/rD74tCs0fEX618Urk43H1YGinAH.jpg,1998-08-21,블레이드,False,6.782,5739
False,/anqF4leHwJ9mEoPXUJTpzPjTNd3.jpg,"[14, 35]",38147,en,"Oh, God! Book II",,258.461,/x73T2sO9vTfTI3fDoEgSmxNWIuz.jpg,1980-10-03,"Oh, God! Book II",False,5.167,39
False,/6SSEa1OfqrHGg7XTLNTxbyyioRB.jpg,"[16, 35, 10751]",8920,en,Garfield,"푹신 푹신한 소파, 인정 많은 주인 존(브레킨 메이어 분) 덕에 TV 리모콘을 점령하고 맘껏 게으름을 피우면서 배부르게 라자니아를 먹고 낮잠을 청하는 것이 전부인 오렌지색 고양이 ‘가필드’. 어느날, 주인이 강아지 ‘오디’를 데려오기 전까지는 그야말로 남부러울 것 없는 천국 같은 생활이 계속되고 있었다. 그러나 ‘존’이 짝사랑 해오던 ‘리즈 박사’(제니퍼 러브 휴이트 분)의 부탁으로 ‘오디’를 데려오는 순간, ‘가필드’의 생활은 순식간에 절망으로 바뀌고 만다. 특유의 애교로 ‘오디’는 ‘존’의 사랑을 맘껏 받으며 점차 ‘가필드’의 안락한 생활을 위협하기 시작하는데… 게다가 ‘오디’는 주인이 맘에 두고 있는 여자 수의사 ‘리즈 박사’가 사랑하는 강아지가 아닌가?  다시 예전의 천국 같은 생활로 돌아갈 수 있을까 머리를 굴리면서 ‘오디’를 사사건건 괴롭히기 시작한다. 그러나, ‘오디’는 절대 굴하지 않고 특유의 천진난만함으로 ‘존’의 사랑까지 흠뻑 받으며 ‘가필드’ 그 동안 무서울 것이 없었던 ‘가필드’는 위기 의식을 느끼고 어떻게 하면 ‘오디’를 집에서 내쫓고 의 행복을 위협한다.  마침내 ‘가필드’는 눈에 가시 같은 ‘오디’를 집 밖으로 내몰고 ‘오디’가 없는 집에서 꿈 같은 하루를 보낸다. 아침에 눈을 뜬 ‘존’는 ‘오디’가 없어진 것을 알고 백방으로 ‘오디’를 찾아보지만 ‘오디’의 행방은 오리무중. ‘오디’의 스타성을 감지한 케이블 TV 진행자 해피 챔만(스티븐 토보로스키 분)이 ‘오디’를 유괴한 것이다. ‘오디’를 내쫓지 못해 안달하던 ‘가필드’는 ‘오디’의 빈자리가 크게 느껴지고 ‘오디’가 불쌍해 지기 시작하면서 ‘오디’를 구해 내겠다는 결심을 하게 된다. 집 앞 다섯 발자국만 나가도 식은 땀을 흐리는 ‘가필드’는 마침내 안락한 생활을 박차고 바깥 세상에 나서고, 그 앞에는 그 동안 상상 할 수 없었던 스펙터클한 사건이 기다리고 있는데…",257.692,/eLDV1QDG67YjWdEpczAOpijmLkQ.jpg,2004-06-10,가필드,False,5.699,3833
